"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 13 15:16:30 IST 2022","Sat Aug 13 15:16:32 IST 2022","1428","UI Test Suite","TradeMe Sandbox - Login and Search Test Scenarios","com.ui.tests.UITests","com.ui.tests.UITests","validEmailInvalidPasswordLogin","Verifying Login for Valid Email & Invalid Password combination",""
"passed","Sat Aug 13 15:16:35 IST 2022","Sat Aug 13 15:16:39 IST 2022","4648","UI Test Suite","TradeMe Sandbox - Login and Search Test Scenarios","com.ui.tests.UITests","com.ui.tests.UITests","registerNowLinkWorks","Verifying Register now link works",""
"passed","Sat Aug 13 15:20:24 IST 2022","Sat Aug 13 15:20:25 IST 2022","773","API Automation Suite","API Test Scenarios Demo","com.api.runner.TestRunner","com.api.runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sat Aug 13 15:20:23 IST 2022","Sat Aug 13 15:20:23 IST 2022","757","","End to End (Add > Get > Update > Get Place) Response validations","","Validating GET API response after updating address","","Validating GET API response after updating address",""
"passed","Sat Aug 13 15:17:56 IST 2022","Sat Aug 13 15:18:26 IST 2022","30909","UI Test Suite","TradeMe Sandbox - Login and Search Test Scenarios","com.ui.tests.UITests","com.ui.tests.UITests","verifySearchForDifferentKeywords","Verifying able to search for different keywords",""
"passed","Sat Aug 13 15:20:25 IST 2022","Sat Aug 13 15:20:26 IST 2022","888","API Automation Suite","API Test Scenarios Demo","com.api.runner.TestRunner","com.api.runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sat Aug 13 15:17:19 IST 2022","Sat Aug 13 15:17:56 IST 2022","36486","UI Test Suite","TradeMe Sandbox - Login and Search Test Scenarios","com.ui.tests.UITests","com.ui.tests.UITests","verifySearchForDifferentKeywords","Verifying able to search for different keywords",""
"passed","Sat Aug 13 15:16:39 IST 2022","Sat Aug 13 15:16:45 IST 2022","6156","UI Test Suite","TradeMe Sandbox - Login and Search Test Scenarios","com.ui.tests.UITests","com.ui.tests.UITests","forgotPasswordLinkWorks","Verifying forgot password link works",""
"failed","Sat Aug 13 15:18:55 IST 2022","Sat Aug 13 15:19:33 IST 2022","38125","UI Test Suite","TradeMe Sandbox - Login and Search Test Scenarios","com.ui.tests.UITests","com.ui.tests.UITests","verifySearchForDifferentKeywords","Verifying able to search for different keywords",""
"passed","Sat Aug 13 15:20:24 IST 2022","Sat Aug 13 15:20:24 IST 2022","753","","End to End (Delete > Get > Update place) Response Validations","","Validating DELETE API response after deleting place","","Validating DELETE API response after deleting place",""
